state,value
Alabama,66.0
Alaska,0.0
Arizona,139.0
Arkansas,10.0
California,574.0
Colorado,99.0
Connecticut,65.0
Delaware,0.0
District of Columbia,0.0
Florida,632.0
Georgia,112.0
Hawaii,36.0
Idaho,10.0
Illinois,188.0
Indiana,113.0
Iowa,39.0
Kansas,38.0
Kentucky,128.0
Louisiana,12.0
Maine,23.0
Maryland,101.0
Massachusetts,122.0
Michigan,205.0
Minnesota,98.0
Mississippi,39.0
Missouri,83.0
Montana,0.0
Nebraska,0.0
Nevada,74.0
New Hampshire,13.0
New Jersey,134.0
New Mexico,52.0
New York,246.0
North Carolina,222.0
North Dakota,0.0
Ohio,221.0
Oklahoma,52.0
Oregon,89.0
Pennsylvania,319.0
Rhode Island,0.0
South Carolina,70.0
South Dakota,0.0
Tennessee,133.0
Texas,299.0
Utah,13.0
Vermont,0.0
Virginia,170.0
Washington,140.0
West Virginia,55.0
Wisconsin,83.0
Wyoming,0.0
