state,value
Alabama,109.0
Alaska,0.0
Arizona,56.0
Arkansas,60.0
California,394.0
Colorado,0.0
Connecticut,67.0
Delaware,0.0
District of Columbia,0.0
Florida,424.0
Georgia,135.0
Hawaii,0.0
Idaho,0.0
Illinois,149.0
Indiana,78.0
Iowa,47.0
Kansas,10.0
Kentucky,99.0
Louisiana,0.0
Maine,21.0
Maryland,126.0
Massachusetts,153.0
Michigan,157.0
Minnesota,89.0
Mississippi,63.0
Missouri,111.0
Montana,0.0
Nebraska,0.0
Nevada,0.0
New Hampshire,31.0
New Jersey,187.0
New Mexico,0.0
New York,261.0
North Carolina,203.0
North Dakota,0.0
Ohio,156.0
Oklahoma,47.0
Oregon,11.0
Pennsylvania,277.0
Rhode Island,0.0
South Carolina,97.0
South Dakota,0.0
Tennessee,159.0
Texas,357.0
Utah,0.0
Vermont,0.0
Virginia,173.0
Washington,88.0
West Virginia,78.0
Wisconsin,89.0
Wyoming,0.0
