state,value
Alabama,20.0
Alaska,0.0
Arizona,29.0
Arkansas,0.0
California,169.0
Colorado,57.0
Connecticut,56.0
Delaware,0.0
District of Columbia,0.0
Florida,107.0
Georgia,135.0
Hawaii,0.0
Idaho,0.0
Illinois,86.0
Indiana,62.0
Iowa,0.0
Kansas,0.0
Kentucky,0.0
Louisiana,221.0
Maine,0.0
Maryland,18.0
Massachusetts,48.0
Michigan,247.0
Minnesota,11.0
Mississippi,15.0
Missouri,18.0
Montana,0.0
Nebraska,0.0
Nevada,19.0
New Hampshire,0.0
New Jersey,322.0
New Mexico,0.0
New York,337.0
North Carolina,0.0
North Dakota,0.0
Ohio,40.0
Oklahoma,14.0
Oregon,14.0
Pennsylvania,52.0
Rhode Island,0.0
South Carolina,17.0
South Dakota,0.0
Tennessee,11.0
Texas,44.0
Utah,0.0
Vermont,0.0
Virginia,28.0
Washington,225.0
West Virginia,0.0
Wisconsin,19.0
Wyoming,0.0
