state,value
Alabama,208.0
Alaska,0.0
Arizona,203.0
Arkansas,93.0
California,1184.0
Colorado,120.0
Connecticut,65.0
Delaware,0.0
District of Columbia,0.0
Florida,1054.0
Georgia,339.0
Hawaii,23.0
Idaho,44.0
Illinois,288.0
Indiana,195.0
Iowa,93.0
Kansas,74.0
Kentucky,219.0
Louisiana,168.0
Maine,0.0
Maryland,121.0
Massachusetts,131.0
Michigan,225.0
Minnesota,113.0
Mississippi,144.0
Missouri,225.0
Montana,11.0
Nebraska,25.0
Nevada,127.0
New Hampshire,0.0
New Jersey,195.0
New Mexico,92.0
New York,274.0
North Carolina,317.0
North Dakota,0.0
Ohio,320.0
Oklahoma,123.0
Oregon,138.0
Pennsylvania,323.0
Rhode Island,0.0
South Carolina,178.0
South Dakota,0.0
Tennessee,297.0
Texas,833.0
Utah,59.0
Vermont,0.0
Virginia,213.0
Washington,221.0
West Virginia,81.0
Wisconsin,118.0
Wyoming,0.0
