state,value
Alabama,63.0
Alaska,0.0
Arizona,160.0
Arkansas,31.0
California,471.0
Colorado,125.0
Connecticut,86.0
Delaware,0.0
District of Columbia,0.0
Florida,288.0
Georgia,111.0
Hawaii,0.0
Idaho,13.0
Illinois,196.0
Indiana,157.0
Iowa,46.0
Kansas,32.0
Kentucky,140.0
Louisiana,13.0
Maine,13.0
Maryland,91.0
Massachusetts,146.0
Michigan,282.0
Minnesota,146.0
Mississippi,25.0
Missouri,123.0
Montana,0.0
Nebraska,47.0
Nevada,74.0
New Hampshire,13.0
New Jersey,195.0
New Mexico,74.0
New York,329.0
North Carolina,190.0
North Dakota,0.0
Ohio,345.0
Oklahoma,66.0
Oregon,50.0
Pennsylvania,370.0
Rhode Island,0.0
South Carolina,55.0
South Dakota,0.0
Tennessee,168.0
Texas,227.0
Utah,25.0
Vermont,0.0
Virginia,122.0
Washington,89.0
West Virginia,41.0
Wisconsin,131.0
Wyoming,0.0
