state,value
Alabama,175.0
Alaska,0.0
Arizona,158.0
Arkansas,106.0
California,851.0
Colorado,82.0
Connecticut,125.0
Delaware,0.0
District of Columbia,0.0
Florida,623.0
Georgia,309.0
Hawaii,0.0
Idaho,0.0
Illinois,264.0
Indiana,175.0
Iowa,60.0
Kansas,89.0
Kentucky,168.0
Louisiana,72.0
Maine,34.0
Maryland,170.0
Massachusetts,269.0
Michigan,256.0
Minnesota,115.0
Mississippi,116.0
Missouri,174.0
Montana,13.0
Nebraska,32.0
Nevada,70.0
New Hampshire,51.0
New Jersey,282.0
New Mexico,47.0
New York,374.0
North Carolina,411.0
North Dakota,0.0
Ohio,390.0
Oklahoma,150.0
Oregon,73.0
Pennsylvania,466.0
Rhode Island,0.0
South Carolina,229.0
South Dakota,0.0
Tennessee,271.0
Texas,725.0
Utah,11.0
Vermont,0.0
Virginia,273.0
Washington,118.0
West Virginia,89.0
Wisconsin,101.0
Wyoming,0.0
