state,value
Alabama,107.0
Alaska,0.0
Arizona,135.0
Arkansas,92.0
California,325.0
Colorado,166.0
Connecticut,0.0
Delaware,0.0
District of Columbia,0.0
Florida,713.0
Georgia,180.0
Hawaii,0.0
Idaho,46.0
Illinois,323.0
Indiana,179.0
Iowa,22.0
Kansas,34.0
Kentucky,119.0
Louisiana,111.0
Maine,21.0
Maryland,95.0
Massachusetts,57.0
Michigan,338.0
Minnesota,85.0
Mississippi,71.0
Missouri,228.0
Montana,11.0
Nebraska,0.0
Nevada,94.0
New Hampshire,0.0
New Jersey,107.0
New Mexico,30.0
New York,190.0
North Carolina,215.0
North Dakota,0.0
Ohio,242.0
Oklahoma,80.0
Oregon,93.0
Pennsylvania,284.0
Rhode Island,0.0
South Carolina,81.0
South Dakota,0.0
Tennessee,166.0
Texas,601.0
Utah,57.0
Vermont,0.0
Virginia,135.0
Washington,167.0
West Virginia,47.0
Wisconsin,39.0
Wyoming,0.0
