state,value
Alabama,91.0
Alaska,0.0
Arizona,96.0
Arkansas,58.0
California,438.0
Colorado,86.0
Connecticut,138.0
Delaware,0.0
District of Columbia,0.0
Florida,440.0
Georgia,145.0
Hawaii,0.0
Idaho,0.0
Illinois,238.0
Indiana,139.0
Iowa,91.0
Kansas,59.0
Kentucky,173.0
Louisiana,72.0
Maine,63.0
Maryland,110.0
Massachusetts,192.0
Michigan,330.0
Minnesota,124.0
Mississippi,58.0
Missouri,157.0
Montana,0.0
Nebraska,0.0
Nevada,38.0
New Hampshire,28.0
New Jersey,190.0
New Mexico,24.0
New York,419.0
North Carolina,268.0
North Dakota,0.0
Ohio,357.0
Oklahoma,98.0
Oregon,84.0
Pennsylvania,450.0
Rhode Island,0.0
South Carolina,114.0
South Dakota,0.0
Tennessee,215.0
Texas,377.0
Utah,10.0
Vermont,0.0
Virginia,182.0
Washington,102.0
West Virginia,94.0
Wisconsin,127.0
Wyoming,0.0
