state,value
Alabama,254.0
Alaska,15.0
Arizona,285.0
Arkansas,396.0
California,738.0
Colorado,193.0
Connecticut,0.0
Delaware,0.0
District of Columbia,0.0
Florida,1897.0
Georgia,272.0
Hawaii,0.0
Idaho,45.0
Illinois,218.0
Indiana,142.0
Iowa,49.0
Kansas,128.0
Kentucky,182.0
Louisiana,334.0
Maine,0.0
Maryland,52.0
Massachusetts,56.0
Michigan,105.0
Minnesota,16.0
Mississippi,193.0
Missouri,741.0
Montana,24.0
Nebraska,16.0
Nevada,382.0
New Hampshire,0.0
New Jersey,114.0
New Mexico,21.0
New York,89.0
North Carolina,284.0
North Dakota,0.0
Ohio,181.0
Oklahoma,215.0
Oregon,93.0
Pennsylvania,150.0
Rhode Island,0.0
South Carolina,138.0
South Dakota,0.0
Tennessee,255.0
Texas,1297.0
Utah,120.0
Vermont,0.0
Virginia,103.0
Washington,165.0
West Virginia,18.0
Wisconsin,39.0
Wyoming,23.0
