state,value
Alabama,17.0
Alaska,0.0
Arizona,66.0
Arkansas,11.0
California,348.0
Colorado,47.0
Connecticut,79.0
Delaware,0.0
District of Columbia,0.0
Florida,293.0
Georgia,70.0
Hawaii,0.0
Idaho,0.0
Illinois,154.0
Indiana,79.0
Iowa,35.0
Kansas,20.0
Kentucky,76.0
Louisiana,10.0
Maine,30.0
Maryland,75.0
Massachusetts,167.0
Michigan,204.0
Minnesota,94.0
Mississippi,0.0
Missouri,65.0
Montana,0.0
Nebraska,10.0
Nevada,34.0
New Hampshire,0.0
New Jersey,180.0
New Mexico,10.0
New York,387.0
North Carolina,115.0
North Dakota,0.0
Ohio,149.0
Oklahoma,23.0
Oregon,67.0
Pennsylvania,269.0
Rhode Island,0.0
South Carolina,55.0
South Dakota,0.0
Tennessee,86.0
Texas,177.0
Utah,0.0
Vermont,0.0
Virginia,105.0
Washington,97.0
West Virginia,39.0
Wisconsin,80.0
Wyoming,0.0
