state,value
Alabama,69.0
Alaska,0.0
Arizona,97.0
Arkansas,24.0
California,400.0
Colorado,37.0
Connecticut,41.0
Delaware,0.0
District of Columbia,0.0
Florida,313.0
Georgia,138.0
Hawaii,0.0
Idaho,0.0
Illinois,126.0
Indiana,116.0
Iowa,10.0
Kansas,28.0
Kentucky,144.0
Louisiana,57.0
Maine,13.0
Maryland,46.0
Massachusetts,87.0
Michigan,164.0
Minnesota,39.0
Mississippi,38.0
Missouri,98.0
Montana,0.0
Nebraska,0.0
Nevada,45.0
New Hampshire,0.0
New Jersey,123.0
New Mexico,22.0
New York,258.0
North Carolina,138.0
North Dakota,0.0
Ohio,195.0
Oklahoma,70.0
Oregon,61.0
Pennsylvania,207.0
Rhode Island,0.0
South Carolina,43.0
South Dakota,0.0
Tennessee,131.0
Texas,334.0
Utah,0.0
Vermont,0.0
Virginia,109.0
Washington,66.0
West Virginia,41.0
Wisconsin,54.0
Wyoming,0.0
